Current Error Message,Error Code,New Error Message,Help Error Message
Program not found,C01,Program not found,Program ID does not exist in Illuminate.  Either adjust the program ID in the program record or add/modify the corresponding codes in code management (Admin > Code Management > Student Programs).
Invalid value for Birth Country (countries.code_key),C02,Invalid value for Birth Country (countries.code_key),Birth country does not exist in Illuminate.  Either adjust the birth country in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Countries).
Invalid value for Birth State (states.code_key),C03,Invalid value for Birth State (states.code_key),Birth state does not exist in Illuminate.  Either adjust the birth state in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > States).
Invalid value for Correspondence Language (language.code_key),C04,Invalid value for Correspondence Language (language.code_key),Correspondence language does not exist in Illuminate.  Either adjust the correspondence language in the student demographic record or add/modify the corresponding codes in code management.  Be sure to check for the Is Correspondence value (Admin > Code Management > Language).
Invalid value for Language Fluency (english_proficiency.code_key),C05,Invalid value for Language Fluency (english_proficiency.code_key),Language fluency does not exist in Illuminate.  Either adjust the language fluency in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > English Proficiency).
Invalid value for Exit Code (exit_codes.code_key),C06,Invalid value for Exit Code (exit_codes.code_key),Exit code does not exist in Illuminate.  Either adjust the exit code in the enrollment record or add/modify the corresponding codes in code management (Admin > Code Management > Exit Codes).
Invalid value for Exit Code (exit_codes.code_key),C06,Invalid value for Exit Code (exit_codes.code_key),Exit code does not exist in Illuminate.  Either adjust the exit code in the enrollment record or add/modify the corresponding codes in code management (Admin > Code Management > Exit Codes).
Invalid value for Parent Ed Level (parent_education.code_key),C07,Invalid value for Parent Ed Level (parent_education.code_key),Parent education level does not exist in Illuminate.  Either adjust the parent education level in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Parent Education).
Invalid value for State (states.code_key),C08,Invalid value for State (states.code_key),State does not exist in Illuminate.  Either adjust the state in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > States).
Invalid value for Phone1 Type (phone_type.code_key),C09,Invalid value for Phone1 Type (phone_type.code_key),Phone 1 type does not exist in Illuminate.  Either adjust the phone 1 type in the contact record or add/modify the corresponding codes in code management (Admin > Code Management > Phone Types).
Invalid value for Primary Disability (primary_disability.code_key),C10,Invalid value for Primary Disability (primary_disability.code_key),Primary disability does not exist in Illuminate.  Either adjust the primary disability in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Primary Disability).
Invalid value for Primary Language (language.code_key),C11,Invalid value for Primary Language (language.code_key),Primary language does not exist in Illuminate.  Either adjust the primary language in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Language).
Invalid value for Primary Race (ethnicity.code_key),C12,Invalid value for Race 1 (ethnicity.code_key),Primary race does not exist in Illuminate.  Either adjust the primary race in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Ethnicity).
Invalid value for Secondary Race (ethnicity.code_key),C13,Invalid value for Race 2 (ethnicity.code_key),Secondary race does not exist in Illuminate.  Either adjust the secondary race in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Ethnicity).
Invalid value for Tertiary Race (ethnicity.code_key),C14,Invalid value for Race 3 (ethnicity.code_key),Tertiary race does not exist in Illuminate.  Either adjust the tertiary race in the student demographic record or add/modify the corresponding codes in code management (Admin > Code Management > Ethnicity).
Contact type is not valid; skipping contact type import (codes.student_contact_type.code_translation),C15,Contact type is not valid; skipping contact type import (codes.student_contact_type.code_translation),Contact type does not exist in Illuminate.  Either adjust the contact type in the contact record or add/modify the corresponding codes in code management (Admin > Code Management > Student Contact Types).
Invalid value for Attendance Program (student_programs.code_key),C16,Invalid value for Attendance Program (student_programs.code_key),Attendance program does not exist in Illuminate.  Either adjust the attendance program in the enrollment record or add/modify the corresponding codes in code management (Admin > Code Management > Student Programs).
Birth Date is not a proper date value.,D01,Birth Date is not a proper date value.,Birth date is not in the proper date format (mm/dd/yyyy or yyyy-mm-dd). Update the student's birth date to align to the proper date format
Enrollment does not match these scheduling dates.,D02,Enrollment does not match these scheduling dates.,Roster dates do not align with this student's enrollment.  This student's roster dates pre-date or post-date their enrollment dates.  Update the student roster dates or enrollment dates
Entry Date is outside of session term dates,D03,Entry Date is outside of session term dates,Enrollment entry date does not align with term dates.  The entry date must be on or after the term start date for this site.  Update the student enrollment entry date.
Invalid enrollment dates,D04,Invalid enrollment dates,Enrollment entry date is AFTER the leave date.  Correct the enrollment dates so the entry date is BEFORE the leave date.
Invalid entry_date/leave_date,D05,Invalid entry_date/leave_date,Roster entry date is AFTER the leave date.  Correct the roster dates so that the entry date is BEFORE the leave date.
Leave date is later than the section end date; using NULL instead,D06,Leave date is later than the section end date; using NULL instead,Roster leave date is after the section ended.  Data has been successfully imported but the leave date was been changed to a Null value.
End Grade Level is not an integer.,F01,End Grade Level is not an integer.,End grade level is not in the proper format (integer).  Update the end grade level to be an integer. 
Site is not an integer.,F02,Site is not an integer.,Site id is not in the proper format (integer).  Update site id to be an integer.
Site is not an integer.,F03,Site is not an integer.,Site id is not in the proper format (integer).  Update site id to be an integer.
Site Type is not an integer.,F04,Site Type is not an integer.,Site type is not in the proper format (integer).  Update site type to be an integer.
Start Grade Level is not an integer.,F05,Start Grade Level is not an integer.,Start grade level is not in the proper format (integer).  Update start grade level to be an integer.
Short Name is greater than the maximum length and was truncated.,F06,Short Name is greater than the maximum length and was truncated.,"Short name exceeds the 25 character limit.  Data was imported successfully, but the short name was truncated to only 25 characters."
Phone 1 is not valid; skipping phone import,F07,Phone 1 is not valid; skipping phone import,Phone 1 is not in the proper format (555-555-5555).  Data was imported successfully but the phone 1 data was ignored.
